ID,Name,Group,Prefixes,Tenant,Status,Role,Description,Tags,Site
7,q7,,&mdash;,,Active,&mdash;,TITECH-VPN-q-in-q,,
9,sinet-eduroam-v6,,&mdash;,,Active,&mdash;,,,
10,q10,,&mdash;,,Active,&mdash;,Q-in-Q_S-VLAN,,
11,v11,,&mdash;,,Active,&mdash;,,,
13,v13,,&mdash;,,Active,&mdash;,vpn-o-net,,
14,v14,,&mdash;,,Active,&mdash;,vpn-s-net,,
18,v18,,&mdash;,,Active,&mdash;,FW-HA1,,
19,v19,,&mdash;,,Active,&mdash;,FW-HA2,,
22,v22,,&mdash;,,Active,&mdash;,border-untrust,,
23,v23,,&mdash;,,Active,&mdash;,border-trust,,
24,v24,,&mdash;,,Active,&mdash;,p2p-o-monitor,,
25,v25,,&mdash;,,Active,&mdash;,p2p-s-monitor,,
28,noc-co2-sgw,,&mdash;,,Active,&mdash;,"""co2-tn3fw(srx)""",,
29,v29,,&mdash;,,Active,&mdash;,sgw-s1-untrust,,
31,noc-m-core-o,,&mdash;,,Active,&mdash;,,,
32,noc-m-core-s,,&mdash;,,Active,&mdash;,,,
33,noc-m-edge-o,,&mdash;,,Active,&mdash;,,,
34,noc-m-edge-s,,&mdash;,,Active,&mdash;,,,
35,noc-m-serv-o,,&mdash;,,Active,&mdash;,,,
36,noc-m-serv-s,,&mdash;,,Active,&mdash;,,,
37,noc-m-ext-o,,&mdash;,,Active,&mdash;,,,
38,noc-m-ext-s,,&mdash;,,Active,&mdash;,,,
39,noc-m-etc-o,,&mdash;,,Active,&mdash;,,,
40,noc-m-etc-s,,&mdash;,,Active,&mdash;,,,
50,v50,,&mdash;,,Active,&mdash;,"cc,grid",,
54,v54,,&mdash;,,Active,&mdash;,"cc,grid",,
55,noc-55,,&mdash;,,Active,&mdash;,,,
59,v59,,&mdash;,,Active,&mdash;,"kurokawalab,genome",,
70,v70,,&mdash;,,Active,&mdash;,libra,,
71,v71,,&mdash;,,Active,&mdash;,libra,,
80,v80,,&mdash;,,Active,&mdash;,"ric,RI-kanri",,
90,v90,,&mdash;,,Active,&mdash;,"setubi,naisendenwa",,
100,v100,,&mdash;,,Active,&mdash;,"jim,tv-kaigi",,
110,pubnet-o,,&mdash;,,Active,&mdash;,,,
111,pubnet-s,,&mdash;,,Active,&mdash;,pubnet-s,,
112,pubnet-nat-o,,&mdash;,,Active,&mdash;,pubnet-nat-o,,
113,pubnet-nat-s,,&mdash;,,Active,&mdash;,pubnet-nat-s,,
130,v130,,&mdash;,,Active,&mdash;,"jim,SETnet",,
131,v131,,&mdash;,,Active,&mdash;,jim-OJnet,,
132,v132,,&mdash;,,Active,&mdash;,"jim,ONnet",,
133,v133,,&mdash;,,Active,&mdash;,"jim,Osnet",,
134,v134,,&mdash;,,Active,&mdash;,"jim,Ownet",,
135,v135,,&mdash;,,Active,&mdash;,jim-SJnet,,
136,v136,,&mdash;,,Active,&mdash;,jim-SOnet,,
