Name,Device,Label,Enabled,Type,Management only,MTU,Mode,MAC Address,Description,Mark connected,Cable,Cable Color,Cable Peer,Connection,Tags,IP Addresses,Untagged VLAN,Tagged VLANs
ge-0/0/0,80nen,,True,1000BASE-T (1GE),False,,Access,,"sisetu,suido.631",False,,,&mdash;,&mdash;,,,v631 (631),&mdash;
ge-0/0/1,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/2,80nen,,True,1000BASE-T (1GE),False,,Access,,"sisetu,kinkyu-o.925",False,,,&mdash;,&mdash;,,,v925 (925),&mdash;
ge-0/0/3,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/4,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/5,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/6,80nen,,True,1000BASE-T (1GE),False,,Access,,"gsic,nyukan-o.150",False,,,&mdash;,&mdash;,,,v150 (150),&mdash;
ge-0/0/7,80nen,,True,1000BASE-T (1GE),False,,Access,,"sao,TVkaigi.709",False,,,&mdash;,&mdash;,,,v709 (709),&mdash;
ge-0/0/8,80nen,,True,1000BASE-T (1GE),False,,Access,,"jim,ONnet.132",False,,,&mdash;,&mdash;,,,v132 (132),&mdash;
ge-0/0/9,80nen,,True,1000BASE-T (1GE),False,,Access,,gakuseisien.647,False,,,&mdash;,&mdash;,,,v647 (647),&mdash;
ge-0/0/10,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/11,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/12,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/13,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/14,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/15,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/16,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/17,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/18,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/19,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/20,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/21,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/22,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
ge-0/0/23,80nen,,False,1000BASE-T (1GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/24,80nen,,True,10GBASE-T (10GE),False,,Tagged,,cercle5-1(temporary),False,,,&mdash;,&mdash;,,,,"noc-mgmt-core-o (301)
    
        noc-mgmt-wlan-o (311)"
mge-0/0/25,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/26,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/27,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/28,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/29,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/30,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/31,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
mge-0/0/32,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-7(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/33,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-6(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/34,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-5(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/35,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-4(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/36,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-3(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/37,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-2(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/38,80nen,,True,10GBASE-T (10GE),False,,Access,,ap-80nen-1(temporary),False,,,&mdash;,&mdash;,PoE,,noc-mgmt-wlan-o (311),&mdash;
mge-0/0/39,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-7_2F,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/40,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-6_2F,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/41,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-5_201,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/42,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-4_107,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/43,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-3_103,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/44,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-2_102,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/45,80nen,,True,10GBASE-T (10GE),False,,Tagged,,o-80nen-1_101,False,,,&mdash;,&mdash;,"PoE,Wi-Fi",,noc-wlan-o1 (360),"pubnet-nat-o (112)
    
        noc-event-nat-S1 (161)
    
        noc-event-nat-S2 (162)
    
        noc-event-nat-S3 (163)
    
        noc-event-nat-S4 (164)
    
        noc-event-eduroam (169)
    
        noc-event-nat-M1 (171)
    
        noc-event-nat-L1 (173)
    
        wi2-1 (341)
    
        wi2-2 (342)"
mge-0/0/46,80nen,,False,10GBASE-T (10GE),False,,,,,False,,,&mdash;,&mdash;,,,,&mdash;
